Damage,Temp_avg.L01,Temp_min.L01,Temp_max.L01,Prep_conti_hrs.L01,Prep_max_10m.L01,Prep_max_1hr.L01,Prep_sum.L01,Wind_mmax.L01,Wind_max.L01,Wind_avg.L01,Wind_sum.L01,Humid_avg_dpt.L01,Humid_min_rel.L01,Humid_avg_rel.L01,Humid_avg_sp.L01,Atmos_avg_gr.L01,Atmos_max_hh.L01,Atmos_min_hh.L01,Atmos_avg_hh.L01,Suns_posi_hrs.L01,Suns_sum_hrs.L01,Cloud_avg.L01,Cloud_avg_mid.L01,Evap_sum_large.L01,Evap_sum_small.L01,Evap_9.9.L01,Mist_conti_hrs.L01,Temp_avg.L02,Temp_min.L02,Temp_max.L02,Prep_conti_hrs.L02,Prep_max_10m.L02,Prep_max_1hr.L02,Prep_sum.L02,Wind_mmax.L02,Wind_max.L02,Wind_avg.L02,Wind_sum.L02,Humid_avg_dpt.L02,Humid_min_rel.L02,Humid_avg_rel.L02,Humid_avg_sp.L02,Atmos_avg_gr.L02,Atmos_max_hh.L02,Atmos_min_hh.L02,Atmos_avg_hh.L02,Suns_posi_hrs.L02,Suns_sum_hrs.L02,Cloud_avg.L02,Cloud_avg_mid.L02,Evap_sum_large.L02,Evap_sum_small.L02,Evap_9.9.L02,Mist_conti_hrs.L02,Temp_avg.L03,Temp_min.L03,Temp_max.L03,Prep_conti_hrs.L03,Prep_max_10m.L03,Prep_max_1hr.L03,Prep_sum.L03,Wind_mmax.L03,Wind_max.L03,Wind_avg.L03,Wind_sum.L03,Humid_avg_dpt.L03,Humid_min_rel.L03,Humid_avg_rel.L03,Humid_avg_sp.L03,Atmos_avg_gr.L03,Atmos_max_hh.L03,Atmos_min_hh.L03,Atmos_avg_hh.L03,Suns_posi_hrs.L03,Suns_sum_hrs.L03,Cloud_avg.L03,Cloud_avg_mid.L03,Evap_sum_large.L03,Evap_sum_small.L03,Evap_9.9.L03,Mist_conti_hrs.L03,Temp_avg.L04,Temp_min.L04,Temp_max.L04,Prep_conti_hrs.L04,Prep_max_10m.L04,Prep_max_1hr.L04,Prep_sum.L04,Wind_mmax.L04,Wind_max.L04,Wind_avg.L04,Wind_sum.L04,Humid_avg_dpt.L04,Humid_min_rel.L04,Humid_avg_rel.L04,Humid_avg_sp.L04,Atmos_avg_gr.L04,Atmos_max_hh.L04,Atmos_min_hh.L04,Atmos_avg_hh.L04,Suns_posi_hrs.L04,Suns_sum_hrs.L04,Cloud_avg.L04,Cloud_avg_mid.L04,Evap_sum_large.L04,Evap_sum_small.L04,Evap_9.9.L04,Mist_conti_hrs.L04,Temp_avg.L05,Temp_min.L05,Temp_max.L05,Prep_conti_hrs.L05,Prep_max_10m.L05,Prep_max_1hr.L05,Prep_sum.L05,Wind_mmax.L05,Wind_max.L05,Wind_avg.L05,Wind_sum.L05,Humid_avg_dpt.L05,Humid_min_rel.L05,Humid_avg_rel.L05,Humid_avg_sp.L05,Atmos_avg_gr.L05,Atmos_max_hh.L05,Atmos_min_hh.L05,Atmos_avg_hh.L05,Suns_posi_hrs.L05,Suns_sum_hrs.L05,Cloud_avg.L05,Cloud_avg_mid.L05,Evap_sum_large.L05,Evap_sum_small.L05,Evap_9.9.L05,Mist_conti_hrs.L05,Temp_avg.L06,Temp_min.L06,Temp_max.L06,Prep_conti_hrs.L06,Prep_max_10m.L06,Prep_max_1hr.L06,Prep_sum.L06,Wind_mmax.L06,Wind_max.L06,Wind_avg.L06,Wind_sum.L06,Humid_avg_dpt.L06,Humid_min_rel.L06,Humid_avg_rel.L06,Humid_avg_sp.L06,Atmos_avg_gr.L06,Atmos_max_hh.L06,Atmos_min_hh.L06,Atmos_avg_hh.L06,Suns_posi_hrs.L06,Suns_sum_hrs.L06,Cloud_avg.L06,Cloud_avg_mid.L06,Evap_sum_large.L06,Evap_sum_small.L06,Evap_9.9.L06,Mist_conti_hrs.L06,Temp_avg.L07,Temp_min.L07,Temp_max.L07,Prep_conti_hrs.L07,Prep_max_10m.L07,Prep_max_1hr.L07,Prep_sum.L07,Wind_mmax.L07,Wind_max.L07,Wind_avg.L07,Wind_sum.L07,Humid_avg_dpt.L07,Humid_min_rel.L07,Humid_avg_rel.L07,Humid_avg_sp.L07,Atmos_avg_gr.L07,Atmos_max_hh.L07,Atmos_min_hh.L07,Atmos_avg_hh.L07,Suns_posi_hrs.L07,Suns_sum_hrs.L07,Cloud_avg.L07,Cloud_avg_mid.L07,Evap_sum_large.L07,Evap_sum_small.L07,Evap_9.9.L07,Mist_conti_hrs.L07
11.1029916,25.4,21.9,30.7,0.83,0.5,0.5,0.5,2.6,1.6,0.5,432,20.6,58,75.3,24.3,999.4,1011.1,1004.2,1007.3,14.7,2.4,7.5,2.8,0,0,52,0,24.3,18.1,31.5,0,0,0,0,6.6,3.8,1.2,1037,19.3,50,75.3,22.5,1001.7,1011.1,1007.3,1009.5,14.7,6.7,2.5,2.5,0,0,0,0,23.3,20.4,28.2,0.08,0,0,0,5.8,3.4,1,864,18.9,53,77.3,21.9,998.9,1008.6,1004.3,1006.6,14.7,1.7,9.5,7.8,0,0,0,0,25,21.9,29.5,6.5,4,10.5,18,7.8,3.4,1.6,1382,19.8,49,74.3,23.2,992.1,1004.6,996,999.8,14.7,7.6,8.8,7,0,0,0,0,22.5,20.3,25.2,9.75,0.1,0.2,0.5,6.2,3.9,0.7,605,19.3,68,82.5,22.4,995.2,1005.4,998.2,1003,14.7,0,10,7,0,0,18.5,0,22.8,18.6,28.7,0,0,0,0,5,2.6,0.9,778,16.7,46,69.5,19,998,1007.4,1004,1005.8,14.7,3.6,9.3,6.3,0,0,0,0,19.5,16.8,23.1,8.8,2,5,17.5,3.7,2.6,0.6,518,17,68,85.5,19.5,997.9,1007,1004.6,1005.8,14.7,0,10,6,0,0,0,0
11.72176584,28.26210093,26.06508754,31.83120494,0.886992791,1.234809475,3.479917611,4.669824923,12.34160659,6.49454171,2.923171988,2508.195675,25.37291452,67.65911432,84.88166838,32.39835221,1000.520906,1009.9207,1007.316066,1008.675798,14.02245108,5.077548919,7.510504634,5.24438723,0.718434604,1.055200824,9.593202884,0,28.38486097,24.75602472,32.99062822,0.348135942,0.471472709,0.471472709,0.673532441,7.986405767,4.852111226,1.600720906,1389.208033,24.63089598,56.48506694,81.27435633,31.00164779,1000.543769,1010.028321,1006.630999,1008.698661,14.1,6.876416066,6.916992791,5.279196704,0.673532441,1.302162719,0,0,26.12039135,24.3277034,29.23429454,9.070401648,1.282286303,2.955818744,10.68630278,8.591555098,4.810504634,1.396086509,1216.936148,24.70010299,74.36869207,91.98877446,31.17775489,995.9754892,1007.325335,999.0666323,1004.155407,14.1,1.365808445,7.961894954,4.439443872,0.044902163,0.134706488,8.098146241,0,28.06673532,25.6168898,32.83553038,0.564654995,1.234397528,1.566735324,1.566735324,7.017507724,3.573841401,1.118434604,975.1421215,25.023069,59.83728115,84.48094748,31.76858908,998.6908342,1007.63553,1005.895366,1006.815654,14.1,5.767147271,7.44953656,5.296086509,0.673532441,1.145005149,3.26168898,0,28.73604531,26.48650875,32.28105046,0.471709578,0.5,0.777136972,0.822039135,8.36261586,3.78053553,1.000720906,858.7281153,25.55726056,62.0576725,83.46622039,32.7445932,995.8607621,1006.197837,1002.575798,1003.868177,14.2,3.643975283,7.58115345,4.151287333,1.032749743,1.436869207,1.991452111,0,30.09866117,26.95149331,34.95324408,0.915839341,0.783419156,1.511431514,1.653861998,6.702162719,3.327600412,1.100411946,957.6024717,25.00298661,52.48609681,75.78032956,31.74582904,993.5357364,1002.915963,999.9160659,1001.598249,14.2,6.746549949,5.811225541,3.927497425,0.942945417,1.594026777,1.29938208,0,29.8445932,25.94026777,34.78218332,0.140545829,0.150360453,0.300720906,0.300720906,5.050360453,2.852935118,1.215345005,1039.656025,23.90072091,48.42945417,71.85932029,29.74129763,993.0479918,1002.147786,999.0528321,1001.055407,14.2,8.25684861,4.980741504,3.364572606,0.695983522,1.302162719,1.052523172,0
14.82135779,25.16642599,20.98808664,30.19891697,0.338592058,0,0,0,3.668231047,2.198194946,0.801083032,693.2490975,19.48086643,52.68592058,71.57617329,22.87545126,1007.04296,1014.297112,1010.965343,1012.624549,13.2,5.906859206,6.883393502,4.602166065,1.097833935,1.671841155,47.35270758,2.039711191,26.09061372,22.70758123,30.88050542,1.330180505,0.747292419,1.494584838,1.74368231,5.329602888,3.435379061,1.509747292,1303.256318,20.56967509,54.90613718,72.45379061,24.39530686,1003.193502,1011.925271,1006.022022,1008.725271,13.2,5.897472924,6.386642599,6.227075812,1.527436823,2.305054152,0,0,24.47509025,20.63790614,28.01227437,1.368303249,0.873646209,1.34801444,2.085198556,5.494584838,3.13032491,1.214440433,1053.086643,19.75631769,59.70397112,75.90144404,23.34151625,1001.16065,1009.030686,1004.133935,1006.692419,13.25920578,0.367148014,7.759205776,7.533935018,0.903610108,1.458844765,1.088808664,0,24.40433213,18.42707581,32.19350181,0,0,0,0,3.951624549,2.354873646,0.850902527,731.9638989,17.59566787,43.68953069,68.07472924,20.27292419,1004.798917,1012.327076,1008.184116,1010.411913,13.3,9.307581227,3.406137184,2.301805054,1.966425993,2.766064982,0,2.077472924,24.55415162,17.68628159,31.79061372,0,0,0,0,4.083754513,2.290613718,0.932490975,806.3862816,17.25162455,41.44043321,65.54837545,19.77039711,1007.229964,1014.651264,1010.984477,1012.902166,13.3,10.79061372,1.2,0.297833935,2.016606498,2.712635379,0,0,23.27400722,15.71227437,30.45054152,0,0,0,0,5.424187726,3.359927798,1.394223827,1203.032491,15.64729242,42.84837545,63.34620939,17.96931408,1008.848014,1016.600722,1011.930325,1014.520217,13.4,11.52274368,2.418411552,0,1.950902527,2.806859206,0,0,24.1368231,17.71371841,30.69458484,0,0,0,0,5.793140794,3.226714801,1.644765343,1425.162455,15.02888087,40.44043321,58.19025271,17.16028881,1009.638267,1016.8787,1013.320578,1015.310469,13.4,11.50505415,0.046931408,0,2.527797834,3.277256318,0,0
14.43276612,25.64184514,21.4538715,30.58434926,0,0,0,0,3.383525535,2.119275124,0.596375618,517.4151565,21.34530478,55.4892916,78.20691928,25.44003295,1004.049259,1013.954036,1010.743987,1012.456013,13.2,7.239868204,7.49785832,6.228500824,0,0,40.52718287,0,25.90329489,22.77051071,30.91120264,2.394052718,2.061779242,3.862602965,4.252224053,4.896046129,3.001647446,1.279571664,1104.985173,22.08105437,57.57001647,80.16392092,26.66573311,1000.005107,1011.55799,1005.71631,1008.333937,13.2,5.868369028,7.918616145,6.914827018,0,0,0,0,23.25881384,20.15107084,26.15502471,2.493212521,1.451565074,3.888467875,5.331630972,3.959802306,2.751235585,0.732125206,634.738056,21.0354201,66.63261944,87.29341021,25.03706755,998.4894563,1008.926359,1004.040362,1006.838386,13.3,0.110543657,8.911532125,7.26523888,0,0,0.442174629,0,23.82537068,18.33097199,31.79209226,0,0,0,0,3.636738056,1.868369028,0.642174629,558.3097199,18.85453048,46.1878089,76.03426689,21.84283361,1001.879407,1012.221911,1008.008237,1010.296211,13.3,8.745634267,3.887479407,3.318945634,0,0,0,3.46616145,23.97512356,16.89126853,31.59719934,0,0,0,0,3.518616145,1.649093904,0.642174629,557.2042834,17.73640857,42.08401977,70.18204283,20.3247117,1004.379407,1014.84201,1010.686161,1012.874135,13.3,11.16046129,0.625370675,0.106425041,0,0,0,0.567347611,22.42932455,14.46672158,30.3261944,0,0,0,0,4.596869852,3.000823723,1.151400329,997.1943987,15.89505766,44.38879736,67.74728171,18.23920923,1006.159308,1016.954036,1011.902142,1014.676112,13.4,12.02965404,2.546128501,0.126523888,0,0,0,0,23.40395387,16.25733114,30.56029654,0,0,0,0,6.010214168,2.821911038,1.29752883,1119.644152,15.04052718,39.15650741,61.21301483,17.16260297,1007.025206,1017.169687,1013.366063,1015.54201,13.4,11.75782537,0,0,0,0,0,0
14.04433792,25.9277027,22.35388514,30.15844595,0,0,0,0,3.341554054,2.483108108,0.841554054,734.8445946,21.68310811,53.56925676,78.57702703,25.98158784,1006.632432,1014.140034,1010.883108,1012.583108,13.2,5.106081081,8.024662162,6.240033784,0.967736486,1.480067568,36.24391892,0,26.04307432,22.68766892,30.75844595,1.150084459,0.646114865,1.29222973,1.507601351,5.526182432,3.896959459,1.570777027,1350.037162,22.25540541,54.43074324,80.73243243,26.88310811,1002.803209,1011.910811,1006.238514,1008.710811,13.2,6.155405405,6.59222973,5.624493243,1.593918919,2.846283784,0,0,24.45388514,21.59543919,27.01233108,5.707753378,2.70777027,4.289358108,7.464864865,5.193918919,3.353885135,1.09847973,972.1706081,21.59847973,65.27702703,84.59222973,26.04003378,1000.80473,1009.267736,1004.140034,1006.712331,13.3,0,8.955405405,7.589189189,0.284628378,0.683108108,6.603378378,0,24.96773649,19.28310811,31.90152027,0,0,0,0,4.012331081,2.938513514,0.884628378,746.8412162,18.18766892,37.16891892,69.39206081,20.97381757,1004.660135,1012.781588,1008.196959,1010.553885,13.3,9.640033784,2.930743243,2.418412162,2.277027027,3.415540541,0,1.796199324,25.11081081,18.18158784,31.74307432,0,0,0,0,4.083108108,2.595439189,0.884628378,770.1807432,17.71385135,38.72297297,65.93834459,20.3277027,1006.989358,1014.69848,1011.010811,1012.983108,13.3,11.14459459,1.552364865,0.569256757,2.333952703,3.586317568,0,0,23.96621622,16.62162162,30.47077703,0,0,0,0,4.615371622,2.673817568,1.129222973,967.5929054,15.14459459,39.72297297,59.08277027,17.33074324,1008.675507,1016.627703,1012.153885,1014.669257,13.4,11.81537162,2.5,0,1.935472973,3.415540541,0,0,24.65236486,18.67702703,30.44307432,0,0,0,0,6.241554054,2.913851351,1.4,1233.339527,14.44459459,37.72297297,54.4089527,16.48766892,1009.40473,1017.041554,1013.483108,1015.39848,13.4,11.74307432,0.284628378,0,2.960135135,4.041722973,0,0
13.16765404,25.7,21.5,30.5,0,0,0,0,3,1.8,0.5,432,21,53,76.3,24.9,1003.9,1013.4,1010.2,1011.9,13.2,6.7,7,5.5,0,0,51.5,0,26.1,23.2,31.1,2.67,1.5,3,3.5,4.9,3.1,1.4,1210,21.8,55,78,26.2,999.9,1011,1005.1,1007.8,13.2,5.7,8.3,8.3,0,0,0,0,23.6,20.4,26.5,1,1,1.5,2,3.6,2.5,0.7,605,21.2,63,86.3,25.3,998.3,1008.3,1003.4,1006.2,13.3,0,8.5,8.5,0,0,0,0,24,18.6,32.3,0,0,0,0,3.5,1.8,0.6,518,18.7,44,74.8,21.6,1001.7,1011.7,1007.4,1009.7,13.3,8.9,3.5,3.5,0,0,0,4.17,24.2,17.1,31.8,0,0,0,0,3.4,1.4,0.6,518,17.6,41,68.5,20.1,1004.2,1014.3,1010.1,1012.3,13.3,11.6,0.3,0,0,0,0,0,22.6,14.8,30.3,0,0,0,0,4.9,3.3,1.3,1123,15.6,42,65.8,17.9,1006,1016.4,1011.3,1014.1,13.4,12.1,2.5,0,0,0,0,0,23.4,16.4,30.5,0,0,0,0,5.9,2.8,1.4,1210,14.9,40,60.5,17,1006.9,1016.7,1012.8,1015,13.4,11.8,0,0,0,0,0,0
15.21802177,25.1840708,21.42256637,29.9,0.422345133,0,0,0,4.057964602,2.745575221,1.1,956.8761062,19.5539823,52.98230088,71.9039823,23.08539823,1009.615929,1015.00531,1011.60354,1013.252655,13.2,4.663274336,7.527876106,4.866371681,2.005309735,3.057964602,36.30176991,2.544247788,26.05088496,22.24911504,30.60176991,0,0,0,0,5.847345133,4.042035398,1.649115044,1418.345133,20.56460177,54.50884956,72.87743363,24.39778761,1005.915929,1012.752655,1006.99823,1009.552655,13.2,6.245575221,4.791150442,3.95619469,2.952654867,4.745575221,0,0,25.25265487,21.48230088,28.72300885,4.552964602,1.96460177,3.143362832,5.697345133,7.010619469,3.847345133,1.603539823,1405.199115,19.66106195,60.38495575,72.20707965,23.34336283,1003.514159,1009.847345,1004.80177,1007.150885,13.24911504,0.457964602,7.875221239,6.696460177,1.314159292,2.268584071,5.697345133,0,25.14026549,18.83318584,31.90530973,0,0,0,0,4.4,3.240265487,1.1,935.2654867,16.98584071,39.12389381,62.85752212,19.53318584,1007.510619,1013.19292,1008.90177,1011.149115,13.3,9.894690265,3.008849558,1.294690265,3.949115044,5.694690265,0,0,25.24026549,18.5420354,31.75088496,0,0,0,0,4.701769912,3.296460177,1.201769912,1043.433628,17.24026549,40.05309735,63.13495575,19.83849558,1009.812389,1015,1011.80177,1013.5,13.3,10.29115044,2.245575221,0.745575221,4.049115044,5.740265487,0,0,24.33849558,17.13495575,30.6,0,0,0,0,5.366814159,2.963274336,1.305309735,1120.707965,15.35973451,41.5619469,58.32522124,17.61238938,1011.310619,1016.8,1012.647345,1014.99823,13.4,11.19292035,2.398230088,0,3.705309735,5.745575221,0,0,25.1420354,19.53495575,30.70530973,0,0,0,0,5.991150442,3.407079646,1.705309735,1493.721239,14.76150442,39.05309735,53.61637168,16.86327434,1011.961504,1017.147345,1013.89823,1015.649115,13.4,11.39469027,0.245575221,0,5.098230088,6.74380531,0,0
11.80962229,26.09426934,23.00458453,29.89426934,0,0,0,0,3.621776504,3.003438395,1.106876791,970.0974212,22.21146132,54.21776504,80.36876791,26.81719198,1008.644986,1014.680516,1011.396562,1013.086246,13.2,3.896561605,8.777077364,6.788538682,1.693123209,2.6,24.58882521,0,25.99885387,22.31489971,30.49197708,0,0,0,0,6.011461318,4.497707736,1.704584527,1459.702006,22.6034384,54.14899713,82.81719198,27.40573066,1004.944986,1012.582808,1007.081662,1009.386246,13.2,6.540114613,5.311461318,3.605730659,2.810315186,5.008022923,0,0,25.09541547,22.49312321,27.38510029,9.260372493,4.014899713,6.559312321,11.90716332,6.510028653,4.065329513,1.427507163,1273.73639,21.89541547,66.94269341,83.2965616,26.59197708,1002.638109,1009.977077,1004.682808,1007.07937,13.3,0,9.3,6.893123209,0.502292264,1.196561605,11.90716332,0,25.70114613,19.83209169,31.58395415,0,0,0,0,4.429799427,3.798853868,1.105730659,924.8366762,17.81719198,32.1260745,65.33667622,20.5217765,1006.839255,1013.574785,1008.790831,1011.181662,13.3,10.21260745,2.522922636,1.581661891,4.008022923,6.016045845,0,0,25.79541547,19.02063037,31.67936963,0,0,0,0,4.618338109,3.505730659,1.108022923,967.7965616,17.81146132,37.04584527,64.05157593,20.51375358,1009.042693,1014.978223,1011.691977,1013.483954,13.3,10.81260745,2.520630372,0.988538682,4.102292264,6.305730659,0,0,24.9965616,18,30.60687679,0,0,0,0,4.418338109,2.209169054,1.005730659,855.2148997,14.81948424,38.02292264,54.08022923,16.92292264,1010.640401,1016.789685,1012.7851,1015.082808,13.4,11.60916905,2.494269341,0,3.405730659,5.998853868,0,0,25.59312321,20.37593123,30.40229226,0,0,0,0,6.505730659,3.008022923,1.405730659,1255.527221,14.13553009,36.06876791,49.94899713,16.14011461,1011.24384,1017.288539,1013.9851,1015.683954,13.4,11.71146132,0.5,0,5.204584527,7.108022923,0,0
12.37312385,21.41852732,19.98657957,23.84144893,16.59420428,5.15760095,10.77327791,35.32684086,5.319002375,2.89263658,0.655938242,594.8194774,20.62434679,82.73871734,95.295962,24.32292162,1002.326247,1012.79228,1005.568052,1010.056413,14.66567696,0,10,6.162589074,0.595368171,0.795249406,121.8155582,0,23.92007126,17.66413302,31.06864608,0,0,0,0,2.893349169,2.277315914,0.71152019,629.8432304,19.1084323,43.88598575,77.12292162,22.26543943,1002.969121,1012.826366,1008.337886,1010.63361,14.66710214,7.351900238,8.424228029,2.516152019,1.310570071,3.178028504,0.808669834,0,21.6543943,15.05688836,27.66163895,0.001425178,0,0,0,4.516152019,2.860095012,1.012945368,847.7482185,17.68444181,52.64370546,79.51603325,20.25736342,1003.036342,1012.063658,1009.310808,1010.767933,14.7,3.742517815,5.238123515,4.764014252,2.338598575,2.879691211,0,0,22.5324228,16.77897862,29.84406176,0,0,0,0,5.630760095,3.717814727,1.182779097,1037.908551,16.94002375,36.33254157,74.22042755,19.40285036,1001.106413,1010.995131,1006.352494,1008.870903,14.7,9.753562945,4.785629454,2.682660333,3.349406176,4.552969121,0,3.421009501,22.23800475,16.49073634,28.70950119,0,0,0,0,3.600950119,2.126840855,0.978503563,827.2814727,16.73907363,44.06413302,74.47220903,19.20344418,1000.337886,1009.275178,1006.575178,1008.035273,14.7,7.668764846,9.417458432,4.055700713,1.23064133,3.666389549,0,0,22.6,18.50391924,28.2543943,3.518966746,3.525178147,8.07719715,10.35486936,5.573634204,3.445368171,1.280166271,1123.975059,18.15154394,43.27078385,78.40748219,20.88301663,996.8391924,1007.372447,1002.900594,1004.505107,14.7,6.461163895,7.668527316,4.242042755,2.772565321,4.101781473,0,0,22.52268409,19.59239905,25.62292162,0.743741093,0.174465558,0.181591449,0.191567696,3.621615202,2.715320665,0.807244656,687.935867,19.29133017,64.6888361,82.86864608,22.42125891,995.8705463,1005.265083,1001.79905,1003.535036,14.7,2.298693587,9.769714964,5.687173397,1.14216152,1.480522565,10.54643705,0
9.587612935,22.59511278,21.21090226,24.33421053,19.13120301,4.647368421,9.483834586,36.09736842,13.70902256,4.813533835,2.24887218,1965.18797,19.81654135,65.2593985,85.33120301,23.34473684,999.6676692,1012.206015,1005.59812,1009.278195,14.60488722,0,10,6.056015038,0.277067669,0.463157895,96.69285714,0,25.1075188,19.65075188,31.05789474,0,0,0,0,8.877819549,5.111654135,1.494360902,1255.37218,17.35676692,37.19172932,65.36466165,19.86766917,1001.023308,1012.294361,1008.642857,1010.629699,14.7,8.510526316,7.720300752,3.59924812,4.127067669,6.021052632,1.372556391,0,22.98947368,18.98157895,27.15263158,0.090977444,0,0,0,7.706766917,4.595112782,1.90112782,1674.052632,18.71992481,51.76691729,77.90451128,21.66766917,1001.131579,1011.836466,1009.992105,1010.833083,14.7,4.907142857,7.706015038,4.508270677,2.721052632,3.883082707,0,0,22.34699248,17.57142857,28.05338346,0,0,0,0,9.77518797,4.877067669,2.265037594,1969.770677,15.15075188,37.7443609,66.92481203,17.36165414,999.4233083,1010.60188,1007.650376,1009.124812,14.7,11.28496241,1.745488722,1.617293233,4.354511278,5.884586466,0,0,22.37894737,18.03345865,26.91052632,0,0,0,0,8.014285714,3.95112782,1.805263158,1524.616541,16.92142857,48.63533835,72.43195489,19.21578947,998.5315789,1009.807519,1007.12406,1008.146992,14.7,8.007894737,6.045112782,3.313533835,3.283458647,3.754887218,0,0,22.48345865,18.67443609,27.24360902,3.909774436,2.75,12.53834586,19.72142857,8.303759398,4.316917293,2.161654135,1902.736842,17.02894737,40.62781955,74.23345865,19.60864662,995.1481203,1007.705263,1002.906767,1004.844737,14.7,10.64210526,5.527067669,2.692857143,5.202255639,6.401503759,0,0,21.69924812,19.00676692,24.82293233,2.332443609,0.82556391,1.759398496,2.759022556,7.065037594,3.695112782,1.270676692,1111.744361,18.47142857,65.69172932,82.35263158,21.31992481,994.0135338,1005.145489,1001.719925,1003.62406,14.7,0.033082707,9.928195489,4.976315789,1.745112782,2.580451128,22.48045113,0
